geneID	symbol	Pre-infection_1	Pre-infection_2	Pre-infection_3	Pre-infection_4	Post-infection_1	Post-infection_2	Post-infection_3	Post-infection_4
17974	Nck2	7051.4014	8410.991	7742.8027	7682.535	4902.3774	6278.3755	5525.11	5452.7754
257910	Olfr671	84.3675	62.3921	79.2379	56.5331	54.6345	83.6773	52.4401	94.7216
66231	Thoc7	1334.1289	1220.1211	1062.0002	1112.962	1447.5795	1881.2809	1726.0559	1874.1512
15061	H28	111.7404	81.2353	170.5553	140.179	685.4144	293.4486	707.0721	403.2983
329360	Gm757	387.6034	258.7709	203.1755	196.1278	337.5239	463.6053	452.2543	375.2706
71302	Arhgap26	125.4326	144.352	114.6191	140.7332	107.5686	105.248	106.2364	119.8594
12977	Csf1	3958.591	3343.5583	3816.663	3292.9207	3537.1157	3859.0935	4936.601	4088.9744
20610	Sumo3	316.4387	163.0349	179.5281	192.8782	156.8498	189.8116	166.9805	185.7942
14167	Fgf12	11.4328	19.2451	20.3562	20.8541	28.3075	55.9648	31.1024	30.2793
208650	Cblb	96.1305	198.0206	121.0661	114.687	75.7076	105.4711	106.9145	113.0739
56338	Txnip	6625.056	6300.273	5717.485	5516.3296	2336.6865	3485.735	2712.5996	4216.246
12870	Cp	607.2028	395.528	443.2814	447.1642	462.4823	506.1879	589.9495	434.0246
68050	Akirin1	3844.8064	4442.7495	4836.009	4158.9624	4604.9966	4801.778	5635.337	5009.2817
12826	Col4a1	22523.594	21942.15	26087.654	22553.21	32169.902	51862.773	44829.977	44716.59
20641	Snrpd1	9804.133	9706.3545	9496.703	11030.442	15731.297	17585.717	18201.498	19096.008
14130	Fcgr2b	621.2642	429.2392	1189.3186	716.6015	3632.3076	2437.6318	4070.4363	2842.3545
668605	Gm9265	108.769	81.3988	73.7344	51.7299	81.8685	118.6854	132.3646	107.4586
23980	Pebp1	152219.3	139065.53	130696.336	118315.35	188036.94	187461.81	188164.52	189445.28
235344	Sik2	330.2718	409.9373	383.5931	348.2283	252.6659	268.405	328.904	238.0579
244666	Gm505	207.628	240.1097	198.6704	171.4105	168.0926	198.1515	215.539	210.1941
243967	Ntn5	126.0657	84.295	114.6853	92.4758	38.0148	123.3401	43.2264	134.8904
77371	Sec24a	809.489	731.0873	835.3057	773.6045	785.9251	1070.0215	892.5725	1018.2571
381418	Ctxn2	10.862	156.4954	5.7822	5.2523	9.0613	4.9798	4.5892	5.5343
13841	Epha7	17.4922	17.8596	16.8319	15.9502	7.6124	19.3243	4.5579	19.8989
102058	Exoc8	317.7517	301.3867	303.9602	289.2862	238.8314	329.1545	323.6803	331.0085
208076	Pknox2	2742.1196	3958.5884	3209.7026	2494.9395	1609.5674	2322.6064	2095.3372	2106.4138
192113	Atp12a	27.329	16.474	12.0458	19.6937	16.8741	20.1652	22.4855	14.8303
16952	Anxa1	17280.902	11899.397	13593.102	13066.489	15918.449	20075.668	21083.514	24455.354
231659	Gcn1l1	3377.1711	3619.2166	3572.2634	3351.2366	2713.0874	3285.5803	3107.6704	3834.5496
629873	Krtap1-4	139.9074	103.6913	83.3354	77.1892	90.5138	130.6709	103.5528	157.7974
20908	Stx3	779.1337	794.2659	719.9099	687.6163	375.6975	642.8383	481.0626	534.4512
17888	Myh6	204.0347	189.2081	222.5515	185.4929	97.7104	261.1171	144.3758	288.6171
66435	Uggt2	209.2419	198.6127	276.2827	157.0713	189.9736	197.4998	234.7901	210.4717
104444	Rexo2	4217.2856	3738.2488	3932.1353	3777.3198	5350.1074	5317.7817	5596.129	6056.2495
231842	Amz1	3226.0815	2371.1	4092.395	3743.36	2974.7883	3591.701	2871.802	4106.986
56207	Uchl5	3828.6912	3889.8684	3804.4587	3810.7058	4705.721	4882.811	5432.9688	4973.2886
53314	Batf	1016.0799	715.2679	1253.4742	1026.9264	2421.8147	1901.768	2068.821	2546.1794
320169	Cdh29	10.9313	29.3819	59.3529	13.5867	21.9842	15.7859	4.5113	20.0658
665563	Mthfd2l	943.1428	989.6177	970.1768	1198.0005	945.4255	1118.9943	1080.5991	999.3351
338351	Akap17b	354.3294	454.3026	308.9415	341.5578	378.2287	391.4259	400.1076	386.0254
